scalerank,natscale,labelrank,name,namepar,namealt,diffascii,nameascii,adm0cap,capalt,capin,worldcity,megacity,sov0name,sov_a3,adm0name,adm0_a3,adm1name,iso_a2,note,latitude,longitude,changed,namediff,diffnote,pop_max,pop_min,pop_other,rank_max,rank_min,geonameid,meganame,ls_name,ls_match,checkme,featureclass
"3","110","8",Tbilisi,,T'Bilisi,"0",Tbilisi,"1","0",,"0","1",Georgia,GEO,Georgia,GEO,Tbilisi,GE,,41.7250099885,44.7907954496,"0","0",,"1100000","1005257","977179","12","12","611717",Tbilisi,Tbilisi,"1","0",Admin-0 capital
"3","110","3",Gonder,,,"0",Gonder,"0","0",,"0","0",Ethiopia,ETH,Ethiopia,ETH,Amhara,ET,,12.6100429473,37.4600284411,"0","0",,"156230","153914","287940","9","9","336014",,Gonder,"1","5",Admin-1 capital
"3","110","6",Astana,,,"0",Astana,"1","0",,"0","0",Kazakhstan,KAZ,Kazakhstan,KAZ,Aqmola,KZ,,51.1811253043,71.4277742095,"0","0",,"345604","325021","317445","10","10","1526273",,Astana,"1","0",Admin-0 capital
"3","110","6",Qaraghandy,,,"0",Qaraghandy,"0","0",,"0","0",Kazakhstan,KAZ,Kazakhstan,KAZ,Qaraghandy,KZ,,49.8849770295,73.1150097238,"0","0",,"451800","304747","282","10","10","1519942",,Qaraghandy,"1","0",Populated place
"3","110","6",Almaty,,,"0",Almaty,"0","0",,"0","1",Kazakhstan,KAZ,Kazakhstan,KAZ,Almaty,KZ,,43.3249898469,76.9150361724,"0","0",,"1209000","983512","954721","12","11","1526384",Almaty,Almaty,"1","0",Admin-1 capital
"3","110","5",Isfahan,,Esfahan,"0",Isfahan,"0","0",,"0","1",Iran,IRN,Iran,IRN,Esfahan,IR,,32.7000053091,51.7000377999,"0","0",,"1628000","1517766","1499980","12","12","418863",Esfahan,Isfahan,"1","0",Admin-1 capital
"3","110","5",Shiraz,,,"0",Shiraz,"0","0",,"0","1",Iran,IRN,Iran,IRN,Fars,IR,,29.629960143,52.5700105375,"0","0",,"1240000","1240000","1373255","12","12","115019",Shiraz,Shiraz,"1","0",Admin-1 capital
"3","110","1",Amritsar,,,"0",Amritsar,"0","0",,"0","1",India,IND,India,IND,Punjab,IN,,31.6399924917,74.8699930409,"0","0",,"1212000","1092450","3162129","12","12","1278710",Amritsar,Amritsar,"1","0",Populated place
"3","110","1",Varanasi,Banaras,Benares,"0",Varanasi,"0","0",,"0","1",India,IND,India,IND,Uttar Pradesh,IN,,25.3299900502,83.0000394276,"1","1",Name changed.,"1352000","1164404","12072703","12","12","1253405",Varanasi,Varanasi,"1","0",Populated place
"3","110","1",Asansol,,,"0",Asansol,"0","0",,"0","1",India,IND,India,IND,West Bengal,IN,,23.6833333,86.9833333,"1","0",Added from GeoNames for UN mega cities.,"1328000","1328000","0","12","12","1278314",Asansol,,"0","0",Populated place
"3","110","1",Bhilai,,Durg-Bhilainagar,"0",Bhilai,"0","0",,"0","1",India,IND,India,IND,Chhattisgarh,IN,,21.2166667,81.4333333,"0","0",,"1097000","1097000","0","12","12","1275971",Durg-Bhilainagar,,"0","0",Populated place
"3","110","1",Bhopal,,,"0",Bhopal,"0","0",,"0","1",India,IND,India,IND,Madhya Pradesh,IN,,23.2499878123,77.4099930409,"0","0",,"1727000","1599914","1808011","12","12","1275841",Bhopal,Bhopal,"1","0",Admin-1 capital
"3","110","1",Madurai,,,"0",Madurai,"0","0",,"0","1",India,IND,India,IND,Tamil Nadu,IN,,9.92002626438,78.1200272206,"0","0",,"1294000","909908","3314275","12","11","1264521",Madurai,Madurai,"1","0",Populated place
"3","110","1",Coimbatore,,,"0",Coimbatore,"0","0",,"0","1",India,IND,India,IND,Tamil Nadu,IN,,10.9999603464,76.9500211171,"0","0",,"1696000","959823","3686679","12","11","1273865",Coimbatore,Coimbatore,"1","0",Populated place
"3","110","8",Vientiane,,,"0",Vientiane,"1","0",,"0","0",Laos,LAO,Laos,LAO,Vientiane [prefecture],LA,,17.9666927276,102.59998002,"0","0",,"754000","570348","469811","11","11","1651944",,Vientiane,"1","0",Admin-0 capital
"3","110","7",Brazzaville,,,"0",Brazzaville,"1","0",,"0","1",Congo (Brazzaville),COG,Congo (Brazzaville),COG,Pool,CG,,-4.25918577181,15.2846894925,"0","0",,"1355000","1163890","1174778","12","12","2260535",Brazzaville,Brazzaville,"1","0",Admin-0 capital
"3","110","8",Conakry,,,"0",Conakry,"1","0",,"0","1",Guinea,GIN,Guinea,GIN,Conakry,GN,,9.53152284641,-13.6802350275,"0","0",,"1494000","1494000","1498020","12","12","2422465",Conakry,Conakry,"1","5",Admin-0 capital
"3","110","8",Yamoussoukro,,,"0",Yamoussoukro,"1","1",Official capita,"0","0",Ivory Coast,CIV,Ivory Coast,CIV,Lacs,CI,,6.81838096,-5.27550256491,"4","0",Changed scale rank.,"206499","194530","206499","10","9","2279755",,Yamoussoukro,"1","0",Admin-0 capital
"3","110","1",Cruzeiro do Sul,,,"0",Cruzeiro do Sul,"0","0",,"0","0",Brazil,BRA,Brazil,BRA,Acre,BR,,-7.62998777378,-72.6699676938,"0","0",,"56862","56862","56862","8","8","-1",,Cruzeiro do Sul,"1","2",Populated place
"3","110","1",Leticia,,,"0",Leticia,"0","0",,"0","0",Colombia,COL,Colombia,COL,Amazonas,CO,,-4.22001503613,-69.9399792904,"0","0",,"59575","32450","59736","8","7","3676623",,Leticia,"1","0",Admin-1 capital
"3","110","1",Manaus,,,"0",Manaus,"0","0",,"0","1",Brazil,BRA,Brazil,BRA,Amazonas,BR,,-3.10003171907,-60.0000175391,"0","0",,"1753000","1520244","1521673","12","12","3663517",Manaus,Manaus,"1","0",Admin-1 capital
"3","110","1",Caxias,,,"0",Caxias,"0","0",,"0","0",Brazil,BRA,Brazil,BRA,Maranhão,BR,,-4.83300087598,-43.3500260839,"4","0",Location adjusted.,"134640","134640","0","9","9","-1",,Caxias,"1","0",Populated place
"3","110","1",Santarem,,,"0",Santarem,"0","0",,"0","0",Brazil,BRA,Brazil,BRA,Pará,BR,,-2.43325071321,-54.6999792904,"4","0",Location adjusted.,"230428","189047","0","10","9","3389353",,Santarem,"1","0",Populated place
