month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202109,utah,ut,572450,-0.0325,0.1204,5607,0.0772,-0.087,27,0.102040816,-0.372093023,4772,-0.0745,0.1871,208,-0.381,-0.675,2212,0.0843,0.4553,9455,0.0056,-0.0874,241.4995337,0.0037,0.1931,2419.5,-0.0283,-0.0495,1061615.141,-0.0434,0.0897,15062,0.0311,-0.0872,1.686285001,-0.1201,-7.00E-04
202109,new jersey,nj,439950,-0.0158,-0.0212,25257,-0.0181,-0.1499,44.5,0.126582278,0.085365854,12916,-0.1016,-0.2084,376,-0.2231,-0.5392,4528,-0.1218,-0.2034,18554,-0.0603,0.866,0,,,0,,,650012.828,6.00E-04,-6.00E-04,43811,-0.0364,0.1049,0.734608227,-0.033,0.3999
202109,louisiana,la,269900,-0.0185,0.0645,8515,-0.0293,-0.2878,64.5,0.205607477,-0.145695364,2444,-0.3828,-0.3025,108,-0.25,-0.8099,1620,-0.3652,-0.3854,9177,-0.0347,0.1693,137.8436144,-0.0131,0.0974,1918.5,-0.0052,-0.0352,380996.9528,-0.0017,0.1097,17692,-0.0321,-0.1066,1.077745156,-0.006,0.4213
202109,maryland,md,374995,0,0.0432,9964,0.0195,-0.0026,37,0.072463768,0.027777778,7772,-0.0818,0.0352,388,0.0211,-0.5403,3920,0.024,0.2963,13549,-0.0573,2.4146,200.9961411,0.0083,0.1167,1749,-0.0037,-0.0448,502241.7668,-1.00E-04,-0.0117,23513,-0.0262,0.6846,1.359795263,-0.1108,0.9626
202109,arizona,az,449950,-1.00E-04,0.1487,10429,0.0512,-0.0977,34.5,0.061538462,-0.158536585,9504,-0.031,0.0645,564,0.1016,-0.5392,4224,0.0193,0.0977,16537,0.0149,-0.1326,241.8343727,0.0042,0.1963,1934.5,-0.0067,-0.0463,685406.9445,-2.00E-04,0.0586,26966,0.0286,-0.1194,1.585674561,-0.0567,-0.0639
202109,tennessee,tn,346532,0.0044,0.0663,11192,0.0162,-0.2168,35.5,0.14516129,-0.211111111,8244,-0.0589,0.0575,436,0,-0.6162,3992,-0.0273,0.0789,14415,-0.0115,-0.0452,167.2590693,0.0077,0.1554,1806.5,0.0019,-0.0757,531609.538,0.0033,0.1374,25607,4.00E-04,-0.1287,1.287973553,-0.0361,0.2316
202109,new hampshire,nh,425000,0.0132,0.1397,2293,-0.0296,-0.1819,36.5,0.177419355,-0.098765432,1828,-0.095,-0.1361,52,0,-0.4091,648,-0.0299,0.0318,1918,-0.0318,-0.2851,226.1797842,0.0277,0.1969,1879,-0.0056,-0.0214,580959.8063,0.0158,0.1652,4211,-0.0306,-0.2324,0.836458788,-0.0019,-0.1207
202109,wyoming,wy,329500,0.0138,0.1664,1773,-0.0117,-0.2928,49,0.088888889,-0.222222222,752,-0.0829,-0.0874,8,-0.6667,-0.8333,388,-0.0583,-0.1182,993,-0.0139,-0.144,153.6334765,0.0131,0.1922,2096,-0.0087,-0.0468,924751.6909,0.0497,0.4442,2766,-0.0125,-0.2457,0.560067682,-0.0012,0.0974
202109,west virginia,wv,179950,0.0028,0.0592,3257,0.0012,-0.3002,57,0.096153846,-0.264516129,1448,-0.095,-0.0295,24,-0.5,-0.6842,752,0.0621,-0.1897,3005,-0.0118,0.1242,94.87866888,0.0155,0.1382,1600,0.0098,-0.0214,272072.3267,-0.0053,0.0745,6262,-0.0051,-0.1454,0.922628185,-0.0122,0.3483
202109,illinois,il,259900,-0.0191,-0.0097,33527,0.0035,-0.1994,49,0.088888889,-0.109090909,18012,-0.053,-0.0552,256,0,-0.5362,9628,-0.0259,-0.1762,28330,-0.0677,-0.1276,142.109375,-0.012,0.1027,1550,-0.0121,-0.0557,386104.7875,-0.0202,-0.0115,61857,-0.0304,-0.1681,0.844990605,-0.0646,0.0695
202109,missouri,mo,243750,-0.0128,0.0602,11850,0.0291,-0.1261,44,0.1,-0.221238938,7448,-0.0437,0.0299,304,0.1875,-0.6481,3752,0.013,0.0492,14239,-0.0514,-0.0606,134.0766032,-3.00E-04,0.1469,1730,-0.008,-0.0686,343911.8503,-0.0101,0.0655,26089,-0.0165,-0.0915,1.201603376,-0.102,0.0838
