month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202109,north carolina,nc,359000,0.0163,0.0397,16209,0.0149,-0.3173,40,0.066666667,-0.304347826,12160,-0.0547,0.008,700,-0.1117,-0.6723,4696,0.0182,-0.1226,23650,-0.0156,0.0112,165.1484375,0.0108,0.1354,1744,-0.0051,-0.1245,510389.2575,0,0.064,39859,-0.0035,-0.1543,1.459065951,-0.0453,0.4739
202109,alabama,al,278647.5,0.0133,0.073,10048,-0.0035,-0.253,45,0.267605634,-0.256198347,5236,-0.1566,0.0179,436,0.1474,-0.5933,2648,-0.0502,0.0747,7510,-0.0492,0.0323,132.7909804,0.0156,0.132,1930,-0.0057,-0.0685,386376.5087,0.0057,0.1224,17558,-0.0236,-0.1529,0.74741242,-0.036,0.2066
202109,florida,fl,399000,0.0101,0.1433,57297,0.0025,-0.4372,48,0.066666667,-0.36,33428,-0.0332,-0.0565,3008,-0.0852,-0.5201,15024,0.0364,-0.3017,68825,-0.0077,-0.0589,235.5234375,0.0096,0.1884,1629,0.004,-0.0199,847789.3523,0.0092,0.1643,126122,-0.0031,-0.279,1.20119727,-0.0124,0.4828
202109,massachusetts,ma,632000,0.0112,-0.0163,9856,0.064,-0.2101,33,-0.043478261,-0.142857143,8676,0.1507,-0.0731,168,-0.0667,-0.3538,2808,0.1779,-0.2156,3482,-0.0244,-0.262,355.4615771,0.0087,0.0485,1742.5,-0.0099,-0.055,1113389.005,-0.0214,-0.0026,13338,0.0394,-0.2244,0.353287338,-0.032,-0.0248
202109,rhode island,ri,420950,0.0011,0.0538,1581,0.0102,-0.1173,37,0.15625,-0.149425287,1388,-0.0672,-0.0307,12,-0.25,-0.4,404,-0.0098,0.01,2530,-0.0417,-0.1389,272.691359,-0.0189,0.1153,1572,0.0139,-0.045,715880.2327,-0.0222,-0.0245,4111,-0.0224,-0.1307,1.600253004,-0.0866,-0.0402
202109,south dakota,sd,279900,0.0016,0.1198,2180,-0.0311,-0.2302,41,0.123287671,-0.196078431,956,-0.07,-0.0808,40,0.1111,-0.2308,328,0.0123,-0.2115,955,-0.0052,-0.001,157.3721017,0.0131,0.1938,1762,-0.0051,-0.0775,364545.5707,0.0186,0.1266,3135,-0.0234,-0.1724,0.438073394,0.0114,0.1005
202109,illinois,il,259900,-0.0191,-0.0097,33527,0.0035,-0.1994,49,0.088888889,-0.109090909,18012,-0.053,-0.0552,256,0,-0.5362,9628,-0.0259,-0.1762,28330,-0.0677,-0.1276,142.109375,-0.012,0.1027,1550,-0.0121,-0.0557,386104.7875,-0.0202,-0.0115,61857,-0.0304,-0.1681,0.844990605,-0.0646,0.0695
202109,maine,me,336500,0.0045,0.1282,3533,-0.0444,-0.2593,47.5,0.217948718,-0.194915254,1900,-0.1171,-0.1395,60,0.5,-0.25,948,-0.0989,0.058,1469,0.0194,-0.0802,200.4736474,0.0026,0.1693,1664,-0.0042,-0.0168,490836.1641,-0.0012,0.0828,5002,-0.0265,-0.2144,0.415793943,0.026,0.081
202109,new jersey,nj,439950,-0.0158,-0.0212,25257,-0.0181,-0.1499,44.5,0.126582278,0.085365854,12916,-0.1016,-0.2084,376,-0.2231,-0.5392,4528,-0.1218,-0.2034,18554,-0.0603,0.866,0,,,0,,,650012.828,0.0006,-0.0006,43811,-0.0364,0.1049,0.734608227,-0.033,0.3999
202109,oklahoma,ok,234461,-0.0021,0.0196,7183,0.0124,-0.1803,45.5,0.096385542,-0.18018018,3776,-0.1791,-0.0367,268,0.5227,-0.3093,2212,0.0147,-0.0107,8828,-0.0352,0.0677,125.7800912,0.006,0.1132,1797.5,-0.0036,-0.0864,341257.888,0.0057,0.077,16011,-0.0144,-0.0599,1.229012947,-0.0606,0.2855
202109,kansas,ks,212450,-0.0119,-0.0119,4466,0.0236,-0.1733,43.5,0.06097561,-0.230088496,2736,-0.0579,0.0059,124,-0.225,-0.2955,1416,-0.0248,-0.0194,6057,-0.0505,-0.0172,111.7417089,-0.0016,0.1175,1857.5,-0.0088,-0.0904,302326.1198,-0.0054,-0.0167,10523,-0.0204,-0.0901,1.356247201,-0.1058,0.2154
202109,oregon,or,520000,-0.0095,0.0949,8209,0.062,-0.019,37,0.057142857,-0.252525253,6316,-0.059,0.2744,2456,-0.1216,0.1585,4048,0.0433,0.2762,10956,-0.0227,-0.1059,282.0595599,-0.0021,0.1813,1870.5,-0.0051,-0.0687,708406.188,-0.0039,0.1136,19165,0.0119,-0.0706,1.33463272,-0.1156,-0.1296
202109,new hampshire,nh,425000,0.0132,0.1397,2293,-0.0296,-0.1819,36.5,0.177419355,-0.098765432,1828,-0.095,-0.1361,52,0,-0.4091,648,-0.0299,0.0318,1918,-0.0318,-0.2851,226.1797842,0.0277,0.1969,1879,-0.0056,-0.0214,580959.8063,0.0158,0.1652,4211,-0.0306,-0.2324,0.836458788,-0.0019,-0.1207
202109,michigan,mi,248450,-0.0158,-0.0058,19328,0.0082,-0.1563,37.5,0.229508197,-0.25,12716,-0.1187,0.014,300,-0.1279,-0.5714,6568,0.0024,0.0492,14258,-0.0264,-0.1509,152.109375,-0.0232,0.0758,1596.5,-0.0075,-0.0742,367583.4014,-0.0281,0.0191,33586,-0.0068,-0.154,0.737686258,-0.0262,0.0047
202109,maryland,md,374995,0,0.0432,9964,0.0195,-0.0026,37,0.072463768,0.027777778,7772,-0.0818,0.0352,388,0.0211,-0.5403,3920,0.024,0.2963,13549,-0.0573,2.4146,200.9961411,0.0083,0.1167,1749,-0.0037,-0.0448,502241.7668,-0.0001,-0.0117,23513,-0.0262,0.6846,1.359795263,-0.1108,0.9626
202109,nevada,nv,449450,0.0273,0.2661,7404,0.0571,-0.2725,30.5,0.089285714,-0.265060241,4732,-0.0779,-0.0641,336,0.0909,-0.1845,2324,0.0901,-0.1851,1896,0.0085,-0.2149,237.9468258,0.0156,0.2458,1893,0.0085,0.0134,745116.9197,-0.0027,0.248,9300,0.0468,-0.2614,0.256077796,-0.0123,0.0188
