month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202109,6055,"napa, ca",1395000,0.0756,0.0735,280,0.0182,-0.1331,58.5,0.083333333,-0.139705882,128,-0.0588,-0.2195,4,-0.5,0,64,0,0,140,-0.1195,-0.2308,707.0063913,0.0453,0.029,2153,0.0245,-0.0149,3304180.06,0.0015,0.1253,420,-0.0323,-0.1683,0.5,-0.0782,-0.0635
202109,42025,"carbon, pa",246450,0.029,0.2323,269,0.0632,-0.011,45.5,-0.080808081,0.058139535,164,0.1389,-0.0682,4,0,0,52,-0.2778,0,217,-0.132,-0.0606,147.8234171,0.0477,0.2654,1691,-0.0214,-0.0166,318989.3636,-0.0331,0.2537,486,-0.0338,-0.0338,0.80669145,-0.1815,-0.0426
202109,47031,"coffee, tn",362500,-0.0133,0.1985,78,0.0986,0.0685,23,0,-0.369863014,64,0,0.4545,0,,,24,0.2,1,86,0.0238,0.1781,154.1214623,-0.0126,0.1843,2091.5,0.059,-0.0498,507615.8866,0.0495,0.3325,164,0.0581,0.1233,1.102564103,-0.0805,0.1026
202109,1103,"morgan, al",259950,-0.0369,0.0836,133,0.064,-0.1307,28.5,0.325581395,-0.208333333,84,-0.2759,-0.2222,4,,-0.5,44,0.1,-0.2143,16,1,7,125.1987694,-0.0016,0.2249,2114,0.0014,-0.056,400123.6195,0.0269,0.3535,149,0.1203,-0.0387,0.120300752,0.0563,0.1072
202109,6019,"fresno, ca",400000,0,0.1296,893,0.0229,0.0733,28,0.12,-0.034482759,852,-0.0229,0.0545,32,-0.1111,-0.1111,240,0,0.0526,624,0.0263,-0.07,224.5307181,-0.0059,0.1688,1850,-0.008,0.0104,755106.4901,0.3918,0.6103,1517,0.0243,0.0093,0.698768197,0.0023,-0.1077
202109,6081,"san mateo, ca",1573500,0.0234,0.0893,610,0.059,-0.3559,33,0,-0.043478261,640,0.1034,-0.1753,24,1,0.5,104,-0.1034,-0.6286,645,-0.0966,-0.1066,952.5641026,-0.0117,0.0433,1677.5,0.0213,-0.0015,3429410.99,0.0145,0.3202,1255,-0.0271,-0.2481,1.057377049,-0.1822,0.295
202109,37101,"johnston, nc",335450,-0.0405,0.2255,249,0.2576,-0.4209,17,-0.105263158,-0.590361446,288,0.44,0.2,32,0.1429,-0.8,60,-0.0625,0.1538,374,0.0054,-0.1302,163.6345428,0.0418,0.2062,2070.5,-0.0414,0.0007,365455.5542,0.0201,0.1895,623,0.093,-0.2756,1.502008032,-0.3768,0.502
202109,55059,"kenosha, wi",276950,-0.0264,-0.0105,256,-0.0303,-0.0376,35,0.166666667,-0.102564103,188,-0.1296,-0.0784,0,,-1,148,-0.0513,0.6087,291,0.0104,-0.0102,150.290355,-0.024,0.0597,1511,-0.0512,-0.1059,395126.649,-0.0612,0.0943,547,-0.0091,-0.0232,1.13671875,0.0458,0.0315
202109,55055,"jefferson, wi",329950,0.0314,0.1784,142,0.0923,-0.1598,51,0.120879121,-0.120689655,100,0.1905,0.25,0,-1,,48,-0.2,-0.0769,137,-0.0987,-0.0552,155.2487141,-0.0266,-0.0183,1948.5,0.0304,0.0501,399299.6786,0.0038,0.0399,279,-0.0106,-0.1115,0.964788732,-0.2044,0.1068
202109,17019,"champaign, il",163750,-0.0638,-0.2417,295,-0.0359,-0.3341,48.5,0.065934066,-0.253846154,160,-0.1111,-0.0244,0,,,124,-0.1143,-0.0606,332,-0.0264,-0.1354,114.2269836,-0.016,-0.0027,1500,-0.0319,-0.1781,254390.1308,-0.0152,-0.0353,627,-0.0309,-0.2418,1.125423729,0.011,0.2586
202109,37049,"craven, nc",269500,0.0133,0.1657,193,-0.0585,-0.3502,50.5,0.147727273,-0.298611111,108,-0.325,-0.0357,16,-0.2,-0.2,44,-0.2667,-0.45,464,-0.0492,0.0867,136.7416318,-0.0029,0.151,1836.5,-0.007,-0.0582,328617.0207,0.0064,0.0981,657,-0.0519,-0.0925,2.404145078,0.0237,0.9664
202109,51015,"augusta, va",332400,-0.0364,-0.0426,113,-0.0813,-0.1691,53.5,0.163043478,-0.1640625,72,-0.0526,-0.1,0,,,28,0.1667,-0.2222,158,-0.0814,-0.1897,172.3475468,-0.0166,0.1735,2038,-0.001,-0.0613,651678.842,0.0077,0.492,271,-0.0814,-0.1813,1.398230088,-0.0001,-0.0356
202109,51540,"charlottesville city, va",498200,0.0891,-0.1655,104,0.1183,-0.3376,48,0.28,-0.368421053,76,0.5833,0.2667,0,,-1,28,0.4,0,164,-0.0061,-0.1087,239.142882,-0.0999,0.0388,2135,0.0588,-0.1196,757927.8194,0.0454,-0.1844,268,0.0388,-0.2141,1.576923077,-0.1973,0.4049
202109,50023,"washington, vt",297000,0.0256,-0.0032,112,-0.145,-0.4483,55,0.279069767,-0.05982906,56,-0.125,-0.3636,4,,0,24,-0.25,-0.5714,112,0.0467,-0.1942,193.2650862,0.0961,0.1797,1714,0.0035,-0.0414,459344.6248,0.035,0.1491,224,-0.0588,-0.345,1,0.1832,0.3153
202109,55079,"milwaukee, wi",198950,-0.0052,-0.0257,1144,0.0864,0.2571,36,0.107692308,0,880,-0.1057,0.0526,8,0,1,560,0,0.2389,1219,-0.0716,-0.1379,136.6833758,0.0119,0.0416,1347.5,-0.0246,-0.0015,260824.3742,-0.012,-0.1136,2363,-0.0013,0.0168,1.065559441,-0.1814,-0.4883
202109,47063,"hamblen, tn",279450,0.0354,0.1091,122,0.2842,0.0702,27.5,-0.214285714,-0.460784314,124,1.2143,1.2143,4,0,-0.5,44,0.5714,0.5714,195,0.0263,-0.0441,140.7840772,-0.027,0.2242,1967.5,0.1091,-0.0344,440214.6668,0.0573,0.3528,317,0.1123,-0.0031,1.598360656,-0.4016,-0.1911
202109,36067,"onondaga, ny",192400,-0.0834,-0.1524,608,0.0066,-0.1111,52,-0.04587156,-0.1875,412,-0.1694,-0.1197,4,-0.6667,-0.8571,192,-0.04,0.1429,1394,-0.0238,-0.1081,121.2176067,-0.0266,0.0304,1666,-0.0177,-0.0698,347898.2522,-0.0032,-0.0379,2002,-0.0148,-0.109,2.292763158,-0.0715,0.0077
202109,35005,"chaves, nm",192900,-0.0353,0.0717,170,-0.0503,0.3386,50,0.123595506,-0.047619048,48,-0.4,-0.0769,0,,,36,-0.1,1.25,6,0.2,0,112.4769691,-0.0068,0.0996,1718.5,-0.0389,-0.0534,228799.2704,-0.0231,0.0077,176,-0.0435,0.3233,0.035294118,0.0074,-0.0119
202109,47037,"davidson, tn",449950,0.0227,0.0588,972,-0.0051,-0.4908,23,0.095238095,-0.352112676,1000,-0.0421,-0.1749,40,-0.0909,-0.6154,376,-0.0105,-0.4233,991,0.0185,-0.261,260.5700053,-0.0026,0.0622,1794.5,0.0039,-0.0409,780536.4149,0.0055,0.2306,1963,0.0067,-0.396,1.019547325,0.0236,0.3171
202109,42001,"adams, pa",310950,-0.0251,-0.0475,119,-0.1119,-0.3315,49,-0.01010101,-0.132743363,68,-0.2273,-0.2273,8,1,-0.5,36,-0.1,-0.1818,195,-0.0152,8.75,158.6751152,-0.0158,0.0248,2007,0.0292,0.0126,348174.8282,-0.0006,-0.1512,314,-0.0542,0.5859,1.638655462,0.161,1.5263
202109,39151,"stark, oh",197400,0.0284,0.0973,478,0.0814,-0.0062,34.5,0,-0.08,468,0.1038,0.1143,8,-0.3333,1,176,0.2941,0.5172,801,-0.0543,0.0376,107.1929258,-0.0122,0.1082,1723,0.0129,-0.0188,248247.4545,-0.0028,0.0132,1279,-0.0078,0.0208,1.675732218,-0.2406,0.0707
202109,5031,"craighead, ar",200117.5,0.0011,-0.1295,291,0.0246,-0.2342,43,0.061728395,-0.218181818,148,0.0882,0.0278,8,1,,72,0.0588,0.125,104,0,10.5556,108.2677165,-0.0152,0.0126,1735.5,0.086,-0.1757,291333.8483,0.0032,0.0175,395,0.018,0.0154,0.357388316,-0.0088,0.3337
202109,26037,"clinton, mi",294900,-0.0117,-0.056,92,0.0824,-0.0707,44,0.375,-0.073684211,48,-0.3333,-0.1429,0,,-1,32,-0.2727,-0.1111,94,0.0108,-0.1532,131.9641253,-0.102,0.0114,2072.5,0.0658,-0.0797,312482.0527,-0.0347,-0.0455,186,0.0449,-0.1143,1.02173913,-0.0724,-0.0995
202109,48257,"kaufman, tx",355165,-0.0105,0.2829,420,0.0269,0.0319,42,0.272727273,0.076923077,272,-0.1605,0,44,-0.2143,-0.5,116,0,0.381,690,0.0117,0.2234,169.4916828,0.0019,0.245,2140.5,0.0073,0.0529,435194.0317,-0.0126,0.4367,1110,0.0174,0.1432,1.642857143,-0.0246,0.2571
202109,15009,"maui, hi",1149000,-0.0221,0.532,364,0.0028,-0.681,59.5,-0.105263158,-0.265432099,192,0.1429,-0.2836,8,0,-0.3333,40,-0.3333,-0.7436,359,-0.0503,0.0813,810.3567083,0.0313,0.1011,1514,-0.0235,0.4614,2345776.123,-0.0635,0.5164,723,-0.0243,-0.5092,0.986263736,-0.0551,0.6953
202109,44009,"washington, ri",647500,-0.0038,-0.0546,293,-0.0425,-0.1861,47,0.119047619,-0.096153846,164,-0.1458,-0.2807,4,,,48,-0.2,-0.3333,372,-0.0582,-0.177,365.5547914,-0.0173,0.1344,1814.5,0.0301,-0.0801,1023746.431,-0.0577,-0.0841,665,-0.0514,-0.181,1.269624573,-0.0212,0.0141
202109,20103,"leavenworth, ks",349000,0.0295,0.1833,124,0.042,0.1071,49.5,0.03125,-0.195121951,84,0.05,0.2353,4,,,40,0.4286,1.5,249,-0.0235,0.0462,158.7585655,0.0281,0.2503,1919,0,0.0031,349577.7094,0.0126,0.0372,373,-0.0027,0.0657,2.008064516,-0.1348,-0.1169
202109,16001,"ada, id",571900,-0.0121,0.3042,1305,0.1318,0.9536,30,0.090909091,-0.2,1008,-0.0118,0.4483,64,1.2857,-0.7143,796,0.1775,6.1071,1752,-0.0028,-0.208,289.3756513,-0.001,0.3144,2100,-0.0066,0.0116,714172.1525,-0.0257,0.2257,3057,0.0505,0.0615,1.342528736,-0.1813,-1.9688
