month_date_yyyymm,postal_code,zip_name,flag,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202109,2743,"acushnet, ma",,499900,-0.1144,0.2267,14,0.2727,0.4,34,-0.403508772,0.581395349,12,0.5,0.5,0,,,0,-1,,2,-0.3333,-0.5,265.8948686,0.0915,0.151,2362,0,0.1716,562183.7667,-0.0532,0.1968,16,0.1429,0.1429,0.142857143,-0.1299,-0.2571
202109,48326,"auburn hills, mi",*,272000,-0.0604,,42,0.0769,-0.087,33,-0.195121951,-0.175,28,-0.125,0.4,0,,,8,0,0,8,-0.2727,0,184.508547,-0.0131,0.0259,1573.5,-0.0126,-0.0972,504619.2308,-0.0196,-0.0924,50,0,-0.0741,0.19047619,-0.0916,0.0166
202109,60646,"chicago, il",,512500,-0.042,0.0069,69,-0.0548,0,40.5,0.557692308,0.191176471,52,0.3,0.1818,0,,,24,-0.1429,0.2,46,-0.0213,-0.193,234.4280037,-0.0087,0.0602,2050,-0.0051,0.0789,560609.3022,-0.0466,-0.0308,115,-0.0417,-0.0873,0.666666667,0.0228,-0.1594
202109,7031,"north arlington, nj",*,449000,0,-0.0021,16,-0.36,,32.5,0.666666667,0.354166667,16,0,0,0,,,0,-1,-1,5,0,,0,,,0,,,482476.3333,0.0596,0.0025,21,-0.3,-0.3636,0.3125,0.1125,0.3125
202109,28806,"asheville, nc",,450000,0.0159,0.2668,103,0.0098,0,53,0.092783505,-0.086206897,52,-0.0714,-0.1875,0,,-1,36,0,0,116,0.0642,0.1262,301.9524776,0.0363,0.3261,1473.5,-0.0354,-0.1216,498704.0683,-0.0071,0.1614,219,0.0379,0.0631,1.126213592,0.0576,0.1262
202109,45810,"ada, oh",*,90000,-0.0995,-0.3996,13,0,,65,0.160714286,-0.627507163,0,-1,,0,,,0,,-1,7,-0.4615,-0.5,63.39285714,0,-0.2523,1658.5,-0.0801,-0.0555,139030.9955,0.0557,0.0534,20,-0.2308,-0.2857,0.538461538,-0.4615,-0.4615
202109,56571,"ottertail, mn",*,496500,0.3455,,14,-0.0667,-0.0667,52.5,1.142857143,-0.70505618,4,-0.5,0,0,,,0,,,12,-0.0769,0.7143,209.5217486,-0.0512,0.3598,2528,0.2015,1.1067,487279.0441,0.0316,0.9071,26,-0.0714,0.1818,0.857142857,-0.0095,0.3905
202109,59105,"billings, mt",,379950,-0.0617,0.1877,34,0.36,-0.0556,17.5,-0.146341463,-0.567901235,36,0.8,0.5,0,,-1,8,1,-0.3333,73,-0.0875,-0.2913,179.9670363,0.0653,0.345,2193,-0.0574,-0.0953,409686.3636,-0.0009,0.2367,107,0.019,-0.2302,2.147058824,-1.0529,-0.7141
202109,22942,"gordonsville, va",*,499900,0,,35,-0.1026,,108.5,0.130208333,,8,-0.5,-0.6,0,-1,,4,-0.75,-0.5,37,0,-0.2885,212.101322,0.0073,0.2497,2361.5,-0.0148,0.0135,611214.744,0.0449,0.09,72,-0.0526,-0.4146,1.057142857,0.1084,0.3247
202109,19138,"philadelphia, pa",*,192750,0.0198,,51,0.1333,,30.5,-0.40776699,,32,0.3333,0.3333,0,,,28,-0.125,0.75,58,-0.0333,3.1429,152.5528455,0.0324,0.155,1200,0.0101,0.0363,184957.8968,-0.0078,0.1629,109,0.0381,1.3696,1.137254902,-0.1961,0.6998
202109,15116,"glenshaw, pa",,276000,0.0828,0.15,19,-0.2083,-0.0952,48.5,0.182926829,0.732142857,4,-0.75,-0.75,0,,,4,-0.6667,-0.5,27,-0.2059,-0.129,155.975187,-0.0473,0.0387,1457,0.1693,0.016,324016.9324,0.0232,0.1403,46,-0.2069,-0.1154,1.421052632,0.0044,-0.0551
202109,2143,"somerville, ma",,837500,-0.1184,0.1168,47,0.3824,0.119,30,-0.381443299,-0.076923077,36,0.5,0.125,0,,,12,0.5,0.5,4,0,0.3333,766.7473769,0.0331,0.1061,1124,0,0.0839,877277.6455,-0.0378,0.0795,51,0.3421,0.1333,0.085106383,-0.0325,0.0137
