BLKID	POPN_TOTAL	POPN_WHITE	POPN_BLACK	POPN_NATIV	POPN_ASIAN	POPN_OTHER	BORONAME
"360850273021016"	"256"	"193"	"14"	"0"	"20"	"29"	Staten Island
"360850070001017"	"65"	"41"	"0"	"0"	"9"	"15"	Staten Island
"360850096011017"	"128"	"113"	"6"	"0"	"8"	"1"	Staten Island
"360850138001017"	"31"	"27"	"1"	"0"	"3"	"0"	Staten Island
"360850173001017"	"139"	"86"	"4"	"0"	"28"	"21"	Staten Island
"360850197001017"	"32"	"29"	"1"	"0"	"1"	"1"	Staten Island
"360850273021017"	"111"	"68"	"0"	"0"	"35"	"8"	Staten Island
"360850008001018"	"92"	"58"	"11"	"4"	"18"	"1"	Staten Island
"360850040001018"	"57"	"34"	"3"	"0"	"7"	"13"	Staten Island
"360850112021018"	"73"	"67"	"0"	"0"	"4"	"2"	Staten Island
"360850134001018"	"48"	"38"	"0"	"0"	"6"	"4"	Staten Island
"360850170081018"	"125"	"117"	"0"	"0"	"7"	"1"	Staten Island
"360850170111018"	"151"	"146"	"3"	"0"	"2"	"0"	Staten Island
"360850189011018"	"64"	"48"	"0"	"2"	"3"	"11"	Staten Island
"360850208041018"	"74"	"71"	"0"	"0"	"2"	"1"	Staten Island
"360850251001018"	"78"	"70"	"0"	"0"	"8"	"0"	Staten Island
"360850134001019"	"14"	"14"	"0"	"0"	"0"	"0"	Staten Island
"360850138001019"	"67"	"67"	"0"	"0"	"0"	"0"	Staten Island
"360850176001019"	"60"	"59"	"1"	"0"	"0"	"0"	Staten Island
"360850208011019"	"0"	"0"	"0"	"0"	"0"	"0"	Staten Island
"360850208041019"	"82"	"78"	"0"	"0"	"3"	"1"	Staten Island
"360850047001020"	"89"	"80"	"3"	"0"	"0"	"6"	Staten Island
"360850146051020"	"71"	"64"	"2"	"0"	"0"	"5"	Staten Island
"360850176001020"	"10"	"7"	"0"	"0"	"0"	"3"	Staten Island
"360850207001020"	"103"	"38"	"51"	"0"	"2"	"12"	Staten Island
"360850208011020"	"392"	"367"	"3"	"0"	"9"	"13"	Staten Island
"360850323001020"	"1"	"1"	"0"	"0"	"0"	"0"	Staten Island
"360850020021021"	"48"	"46"	"0"	"0"	"2"	"0"	Staten Island
"360850047001021"	"7"	"6"	"0"	"0"	"1"	"0"	Staten Island
"360850070001021"	"102"	"100"	"0"	"0"	"0"	"2"	Staten Island
"360850112011021"	"176"	"169"	"0"	"0"	"0"	"7"	Staten Island
"360850047001022"	"29"	"26"	"0"	"0"	"2"	"1"	Staten Island
"360850189011022"	"122"	"78"	"11"	"0"	"9"	"24"	Staten Island
"360850208041022"	"45"	"41"	"0"	"0"	"4"	"0"	Staten Island
"360850228001022"	"0"	"0"	"0"	"0"	"0"	"0"	Staten Island
"360850112011023"	"0"	"0"	"0"	"0"	"0"	"0"	Staten Island
"360850169011023"	"90"	"66"	"0"	"1"	"8"	"15"	Staten Island
