INCIDENT_D	BORONAME	NUM_VICTIM	PRIMARY_MO	ID	WEAPON	LIGHT_DARK	YEAR
2008/09/21	Manhattan	"1"		"327"	gun	D	"2008"
2008/09/22	Manhattan	"1"		"328"	gun	D	"2008"
2008/09/21	Brooklyn	"1"		"329"	knife	L	"2008"
2008/09/22	Brooklyn	"1"		"330"	gun	D	"2008"
2008/09/23	Queens	"1"		"331"	gun	D	"2008"
2008/09/24	Brooklyn	"1"		"332"	gun	D	"2008"
2008/09/26	Brooklyn	"1"		"334"	gun	L	"2008"
2008/09/26	Brooklyn	"1"		"336"	gun	D	"2008"
2008/09/28	Manhattan	"1"		"338"	gun	D	"2008"
2008/09/28	Brooklyn	"1"		"339"	knife	D	"2008"
2008/09/30	Staten Island	"1"		"342"	gun	D	"2008"
2008/09/30	Brooklyn	"1"		"343"	knife	L	"2008"
2008/10/01	Queens	"1"		"344"	gun	D	"2008"
2008/09/30	Brooklyn	"1"		"345"	gun	D	"2008"
2008/10/03	Manhattan	"1"		"349"	gun	D	"2008"
2008/10/03	Brooklyn	"1"		"350"	gun	L	"2008"
2008/11/10	Brooklyn	"1"		"351"	gun	L	"2008"
2008/10/04	Queens	"1"		"353"	gun	D	"2008"
2008/09/29	Brooklyn	"1"		"355"		D	"2008"
2008/10/08	Brooklyn	"1"		"356"	gun	D	"2008"
2008/10/03	Queens	"1"		"358"	gun	D	"2008"
2008/10/09	Queens	"1"		"360"	knife	L	"2008"
2008/10/09	Queens	"1"		"361"	gun	D	"2008"
2008/10/10	Brooklyn	"1"		"363"	gun	D	"2008"
2008/10/18	Manhattan	"1"		"365"	gun	D	"2008"
2008/10/19	Staten Island	"1"		"366"	gun	L	"2008"
2008/11/11	Brooklyn	"1"		"367"	gun	D	"2008"
2008/10/20	Brooklyn	"1"		"368"		D	"2008"
2008/10/21	Brooklyn	"1"		"369"	knife	D	"2008"
2008/10/23	Manhattan	"1"		"372"	knife	D	"2008"
2008/10/24	Brooklyn	"1"		"373"	gun	D	"2008"
2008/10/25	Queens	"1"		"374"	knife	D	"2008"
2008/11/12	Queens	"1"		"378"	gun	D	"2008"
2008/10/27	Brooklyn	"2"		"379"	gun	D	"2008"
2008/10/14	Brooklyn	"1"		"381"		D	"2008"
2008/11/15	Staten Island	"1"		"383"	gun	D	"2008"
2008/11/17	Brooklyn	"1"		"386"	gun	L	"2008"
2008/05/25	Queens	"1"		"3444"		L	"2008"
2008/11/17	Brooklyn	"1"		"388"	gun	D	"2008"
2008/11/17	Brooklyn	"2"		"389"		D	"2008"
2008/11/18	Brooklyn	"1"		"390"	gun	D	"2008"
2008/11/19	Brooklyn	"1"		"395"	gun	D	"2008"
2008/08/18	Queens	"1"		"398"		D	"2008"
2008/12/02	Brooklyn	"1"		"401"	gun	D	"2008"
2008/12/01	Brooklyn	"1"		"403"	knife	L	"2008"
2008/12/01	Brooklyn	"1"		"404"	knife	D	"2008"
2008/11/28	Queens	"1"		"405"	gun	D	"2008"
2008/11/28	Staten Island	"1"		"406"	knife	D	"2008"
2008/11/27	Brooklyn	"1"		"407"	knife	L	"2008"
2008/11/26	Brooklyn	"1"		"408"	gun	D	"2008"
2003/07/13	Brooklyn	"1"	DISPUTE	"409"	gun		"2003"
2003/07/19	Brooklyn	"1"	DISPUTE	"410"	gun		"2003"
2003/05/25	Brooklyn	"1"	REVENGE	"411"	gun		"2003"
2003/08/02	Manhattan	"1"	REVENGE	"415"	gun		"2003"
2003/08/02	Brooklyn	"1"	DISPUTE	"416"	gun		"2003"
2003/01/01	Brooklyn	"1"	GANG	"417"	gun		"2003"
2003/02/21	Brooklyn	"1"	GANG	"419"	gun		"2003"
2003/01/01	Brooklyn	"1"	DISPUTE	"420"	gun		"2003"
2003/02/20	Brooklyn	"1"	DRUGS	"421"	gun		"2003"
2003/01/01	Queens	"1"	DISPUTE	"423"	other		"2003"
2003/01/03	Queens	"2"	DOMESTIC	"424"	knife		"2003"
2003/01/04	Brooklyn	"1"	DISPUTE	"425"	knife		"2003"
2003/02/22	Manhattan	"1"	GANG	"426"	gun		"2003"
2003/01/05	Manhattan	"1"	DOMESTIC	"428"	knife		"2003"
2003/04/19	Queens	"1"	DRUGS	"430"	gun		"2003"
2003/05/01	Queens	"1"	DISPUTE	"431"	knife		"2003"
2003/01/08	Brooklyn	"1"	REVENGE	"433"	gun		"2003"
2003/05/01	Brooklyn	"1"	DISPUTE	"434"	gun		"2003"
2003/03/05	Brooklyn	"1"	DOMESTIC	"436"	gun		"2003"
2003/03/05	Manhattan	"1"	DOMESTIC	"437"	knife		"2003"
2003/04/02	Queens	"1"	GANG	"439"	knife		"2003"
2003/03/01	Queens	"1"	ACCIDENTAL	"440"	gun		"2003"
2003/04/05	Brooklyn	"1"	DISPUTE	"441"	gun		"2003"
2003/03/07	Queens	"1"	ROBBERY/BURGLARY	"442"	other		"2003"
2003/03/09	Queens	"1"	BOYFRIEND/GIRLFRIEND	"444"	knife		"2003"
2003/02/14	Queens	"1"	DOMESTIC	"445"	blunt_instrument		"2003"
2003/03/10	Brooklyn	"1"	RANDOM	"446"	gun		"2003"
2003/03/10	Staten Island	"2"	ROBBERY/BURGLARY	"447"	gun		"2003"
2003/02/21	Queens	"1"	DRUGS	"448"	blunt_instrument		"2003"
2003/04/03	Brooklyn	"1"	ROBBERY/BURGLARY	"449"	gun		"2003"
2003/01/31	Manhattan	"1"	DOMESTIC	"450"			"2003"
2003/02/28	Brooklyn	"1"	DISPUTE	"451"	knife		"2003"
2003/03/30	Queens	"1"	DISPUTE	"452"	blunt_instrument		"2003"
2003/03/01	Manhattan	"1"	DISPUTE	"453"	gun		"2003"
2003/03/01	Queens	"2"	GANG	"454"	knife		"2003"
2003/03/02	Manhattan	"1"	DRUGS	"455"	knife		"2003"
2003/03/01	Brooklyn	"1"	ROBBERY/BURGLARY	"456"	gun		"2003"
2003/03/03	Brooklyn	"1"	DISPUTE	"457"	knife		"2003"
2003/02/08	Brooklyn	"1"	GANG	"458"	gun		"2003"
2003/03/03	Brooklyn	"1"	GANG	"459"	gun		"2003"
2003/03/04	Manhattan	"1"	DOMESTIC	"460"	gun		"2003"
2003/02/13	Manhattan	"1"	REVENGE	"462"	gun		"2003"
2003/02/14	Queens	"1"	DISPUTE	"463"	gun		"2003"
2003/02/08	Queens	"1"	RANDOM	"464"	gun		"2003"
2003/02/08	Brooklyn	"1"	RANDOM	"465"	gun		"2003"
2003/02/09	Brooklyn	"1"	DOMESTIC	"466"	knife		"2003"
2003/02/08	Brooklyn	"1"	DISPUTE	"467"	gun		"2003"
2003/02/14	Brooklyn	"2"	DRUGS	"468"			"2003"
2003/02/11	Manhattan	"1"	GANG	"469"	gun		"2003"
2003/02/15	Brooklyn	"1"	OTHER	"470"	gun		"2003"
2003/02/15	Brooklyn	"1"	REVENGE	"471"	gun		"2003"
2003/02/15	Manhattan	"1"	UNKNOWN	"472"	knife		"2003"
2003/02/01	Manhattan	"1"	DISPUTE	"473"	knife		"2003"
2003/02/19	Brooklyn	"1"	GANG	"474"	gun		"2003"
2003/01/28	Queens	"2"	DOMESTIC	"475"	knife		"2003"
2003/02/02	Brooklyn	"1"	DISPUTE	"476"	gun		"2003"
2003/01/28	Brooklyn	"2"	DOMESTIC	"477"	other		"2003"
2003/01/30	Brooklyn	"1"	ROBBERY/BURGLARY	"478"	gun		"2003"
2003/02/02	Queens	"1"	DRUGS	"480"	gun		"2003"
2003/01/31	Brooklyn	"1"	DISPUTE	"481"	other		"2003"
2003/02/01	Brooklyn	"1"	ROBBERY/BURGLARY	"482"	gun		"2003"
2003/02/01	Queens	"1"	ROBBERY/BURGLARY	"483"	gun		"2003"
2003/02/03	Brooklyn	"1"	DRUGS	"484"	gun		"2003"
2003/02/06	Brooklyn	"1"	DISPUTE	"485"	gun		"2003"
2003/02/04	Brooklyn	"1"	ROBBERY/BURGLARY	"486"	blunt_instrument		"2003"
2003/02/04	Queens	"1"	GANG	"487"	knife		"2003"
2003/02/06	Manhattan	"1"	DRUGS	"488"	gun		"2003"
2003/02/06	Queens	"1"	DOMESTIC	"489"	knife		"2003"
2003/01/12	Brooklyn	"1"	UNKNOWN	"491"	gun		"2003"
2003/01/14	Manhattan	"1"	BOYFRIEND/GIRLFRIEND	"492"	gun		"2003"
2003/01/14	Queens	"1"	DISPUTE	"493"	knife		"2003"
2003/01/14	Staten Island	"1"	REVENGE	"494"	other		"2003"
2003/01/14	Queens	"1"	DISPUTE	"495"	blunt_instrument		"2003"
2003/01/15	Brooklyn	"1"	SEX	"496"			"2003"
2003/01/17	Brooklyn	"1"	DRUGS	"497"	gun		"2003"
2003/01/17	Brooklyn	"1"	DRUGS	"499"	gun		"2003"
2003/01/21	Brooklyn	"1"	DISPUTE	"500"	gun		"2003"
2003/01/26	Queens	"1"	DISPUTE	"503"	knife		"2003"
2003/01/26	Queens	"1"	DRUGS	"504"	gun		"2003"
2003/03/16	Brooklyn	"1"	DISPUTE	"506"	gun		"2003"
2003/03/16	Brooklyn	"1"	GANG	"507"	knife		"2003"
2003/03/01	Manhattan	"1"	DOMESTIC	"508"			"2003"
2003/04/18	Brooklyn	"1"	DISPUTE	"510"	gun		"2003"
2003/03/20	Brooklyn	"1"	RANDOM	"512"	gun		"2003"
2003/05/10	Queens	"1"	UNKNOWN	"513"	knife		"2003"
2003/03/22	Brooklyn	"1"	REVENGE	"514"	gun		"2003"
2003/03/22	Brooklyn	"1"	DRUGS	"516"	blunt_instrument		"2003"
2003/03/28	Queens	"1"	REVENGE	"517"	gun		"2003"
2003/03/29	Brooklyn	"1"	DISPUTE	"518"	gun		"2003"
2003/03/22	Manhattan	"1"	DRUGS	"519"	gun		"2003"
2003/01/09	Queens	"1"	DRUGS	"520"	gun		"2003"
2003/03/23	Queens	"1"	DISPUTE	"521"	gun		"2003"
2003/03/23	Queens	"1"	DOMESTIC	"522"			"2003"
2003/01/09	Manhattan	"1"	DRUGS	"523"			"2003"
2003/03/30	Brooklyn	"1"	DISPUTE	"524"	gun		"2003"
2003/01/10	Manhattan	"1"	DRUGS	"527"	gun		"2003"
2003/03/28	Brooklyn	"1"	ROBBERY/BURGLARY	"528"	gun		"2003"
2003/03/28	Queens	"1"	NONE	"529"	other		"2003"
2003/03/27	Brooklyn	"1"	DISPUTE	"530"	knife		"2003"
2003/03/13	Queens	"1"	DRUGS	"532"	gun		"2003"
2003/03/31	Brooklyn	"1"	REVENGE	"534"	gun		"2003"
2003/04/05	Brooklyn	"1"	DRUGS	"535"	gun		"2003"
2003/03/31	Brooklyn	"1"	DISPUTE	"536"	gun		"2003"
2003/04/08	Manhattan	"1"	DRUGS	"537"	gun		"2003"
2003/03/13	Queens	"1"	DISPUTE	"538"	knife		"2003"
2003/03/23	Brooklyn	"1"	DISPUTE	"541"	gun		"2003"
2003/04/05	Brooklyn	"1"	DOMESTIC	"542"			"2003"
2003/04/03	Brooklyn	"1"	ROBBERY/BURGLARY	"544"	gun		"2003"
2003/03/16	Queens	"1"	GANG	"546"	knife		"2003"
2003/04/07	Brooklyn	"1"	ROBBERY/BURGLARY	"548"	gun		"2003"
2003/03/24	Brooklyn	"1"	ROBBERY/BURGLARY	"549"	gun		"2003"
2003/04/16	Brooklyn	"1"	GANG	"550"	gun		"2003"
2003/04/18	Brooklyn	"1"	ROBBERY/BURGLARY	"551"	gun		"2003"
2003/04/16	Queens	"1"	ROBBERY/BURGLARY	"554"	gun		"2003"
2003/04/20	Brooklyn	"1"	DRUGS	"555"	gun		"2003"
2003/03/28	Queens	"1"	DRUGS	"557"	gun		"2003"
2003/04/25	Manhattan	"1"	ROBBERY/BURGLARY	"558"	gun		"2003"
2003/04/01	Brooklyn	"1"	DRUGS	"559"	gun		"2003"
2003/04/24	Manhattan	"1"	DOMESTIC	"561"	gun		"2003"
2003/04/02	Brooklyn	"3"	DISPUTE	"562"	other		"2003"
2003/04/02	Brooklyn	"1"	DISPUTE	"563"	other		"2003"
2003/04/02	Brooklyn	"1"	GANG	"564"	gun		"2003"
2003/04/29	Brooklyn	"1"	GANG	"565"	gun		"2003"
2003/05/02	Queens	"1"	RANDOM	"566"	gun		"2003"
2003/05/04	Brooklyn	"1"	REVENGE	"567"	knife		"2003"
2003/05/01	Manhattan	"1"	ROBBERY/BURGLARY	"568"	other		"2003"
