ID	NAME	ONEWAY	TYPE
"741"	W 117th St		residential
"742"	47th Ave		residential
"743"	Claver Pl		residential
"744"	Clarendon Rd		residential
"745"			residential
"746"	E 92nd St		residential
"747"	Margaret Ct		residential
"748"	N 15th St		residential
"749"	Roebling St		residential
"750"	Jefferson Ave		residential
"751"	Oceanview Ave		residential
"752"	Meserole Ave		residential
"753"	W 126th St		residential
"754"	W 135th St		residential
"755"	Riverside Dr		residential
"756"			residential
"757"	Transverse Rd Number 4		residential
"758"	E 22nd St		residential
"759"	E 15th St		residential
"760"	Quentin Rd		residential
"761"	W 118th St		residential
"762"			motorway
"763"			motorway
"764"	E 93rd St		residential
"765"	Homecrest Ave		residential
"766"	Rodney St		residential
"767"	Borden Ave		residential
"768"	Vanderveer Pl		residential
"769"	Franklin Ave		residential
"770"			residential
"771"	Banker St		residential
"772"	Gem St		residential
"773"	Brighton 13th St		residential
"774"	Box St		residential
"775"	"Brooklyn Qns Expy; I-278"		motorway
"776"			residential
"777"	5th St		residential
"778"	W 119th St		residential
"779"	W 136th St		residential
"780"	St Francis Pl		residential
"781"	Bay Ave		residential
"782"	E 11th St		residential
"783"	Homecrest Ave		residential
"784"	E 22nd St		residential
"785"	97th St Transverse		residential
"786"	97th St Transverse		residential
"787"	Seacoast Ter		residential
"788"	E 94th St		residential
"789"			motorway_link
"790"	Brightwater Ave		residential
"791"	Campus Rd		residential
"792"	Moore Pl		residential
"793"	Ocean Ave		residential
"794"	E 16th St		residential
"795"	W 120th St		residential
"796"			residential
"797"	E 95th St		residential
"798"	Nassau Ct		residential
"799"	E 23rd St		residential
"800"			motorway_link
"801"	W 137th St		residential
"802"	Avenue X		residential
"803"	E 21st St		residential
"804"	Spencer St		residential
"805"	Brighton 14th St		residential
"806"	Brighton 11 St		residential
"807"	Stoddard Pl		residential
"808"			footway
"809"	St Charles Pl		residential
"810"	Cass Pl		residential
"811"	Middleton St		residential
"812"	W 121st St		residential
"813"	Stephens Ct		residential
"814"	Hancock St		residential
"815"			residential
"816"	Clifford Pl		residential
"817"	Erasmus St		residential
"818"			footway
"819"	Brighton 14th St		residential
"820"	Old Broadway		residential
"821"	E 96th St		residential
"822"	W 138th St		residential
"823"	E 23rd St		residential
"824"	Keap St		residential
"825"			residential
"826"	Avenue D		residential
"827"			residential
"828"	Ctrl Park Powell Blvd Appr		residential
"829"	Manhattan Ave		residential
"830"	Ash St		residential
"831"	Boardwalk  E		residential
"832"	W 128th St		residential
"833"			motorway_link
"834"			motorway_link
"835"	W 134th St		residential
"836"	Brevoort Pl		residential
"837"	W 122nd St		residential
"838"	W 139th St		residential
"839"	Havemeyer St		residential
"840"	Adam Clayton Powell Jr Blvd		residential
"841"	46th Rd		residential
"842"	E 97th St		residential
"843"	Kosciusko St		residential
"844"			motorway_link
"845"	Dobbin St		residential
"846"	Guernsey St		residential
"847"	Brighton 15th St		residential
"848"	W 127th St		residential
"849"	Brighton 15th St		residential
"850"	Walworth St		residential
"851"	Corbin Pl		residential
"852"	E 22nd St		residential
"853"	Norman Ave		residential
"854"	Ludlam Pl		residential
"855"	46th Ave		residential
"856"			residential
"857"			footway
"858"	54th Ave		residential
"859"	44th Dr		residential
"860"	Oakland Pl		residential
"861"	Vernon Blvd		residential
"862"	West 125th St		residential
"863"	Gerald H Chambers Sq		residential
"864"	E 24th St		residential
"865"	W 140th St		residential
"866"	Woods Pl		residential
"867"	Road 5		residential
"868"	E 98th St		residential
"869"	Woods Pl		residential
"870"	Nassau Ave		residential
"871"			footway
"872"			footway
"873"	S 2nd St		residential
"874"	53rd Ave		residential
"875"	45th Ave		residential
"876"	E 14th St		residential
"877"			motorway_link
"878"	S 1st St		residential
"879"	Avenue W		residential
"880"	Spencer Pl		residential
"881"	Campus Rd		residential
"882"	Lorimer St		residential
"883"	Vernon Blvd		residential
"884"	Hamilton Pl		residential
"885"	W 130th St		residential
"886"	Harrison Ave		residential
"887"	W 124th St		residential
"888"			footway
"889"	Spencer Ct		residential
"890"	5th St		residential
"891"	Bedford Pl		residential
"892"	Vernon Blvd		residential
"893"	W 141st St		residential
"894"	Warsoff Pl		residential
"895"	Hancock Pl		residential
"896"			residential
"897"	E 23rd St		residential
"898"	E 23rd St		residential
"899"	Jackson Ave		residential
"900"	Lott St		residential
"901"	Lott St		residential
"902"			footway
"903"	Neptune Ave		residential
"904"	Emmons Ave		residential
"905"	Hooper St		residential
"906"	W 131st St		residential
"907"	Shore Blvd		residential
"908"			residential
"909"	LIE		motorway
"910"			motorway_link
"911"			motorway_link
"912"			motorway
"913"	Gerald H Chambers Sq		residential
"914"	Gerald H Chambers Sq		residential
"915"	Flatbush Ave		residential
"916"	Ocean Ct		residential
"917"	Emmers Ln		residential
"918"			motorway_link
"919"	Bedford Ave		residential
"920"			footway
"921"	Corbin Pl		residential
"922"	Oriental Blvd		residential
"923"	Gustave L Levy Pl		residential
"924"	Hope St		residential
"925"	E 15th St		residential
"926"	Sandford St		residential
"927"	Rogers Ave	yes	residential
"928"	West End Ave		residential
"929"	Shore Blvd		residential
"930"	W 142nd St		residential
"931"	E 25th St		residential
"932"	Foster Ave		residential
"933"	Meeker Ave		residential
"934"	Halsey St		residential
"935"			footway
"936"	Ainslie St		residential
"937"	Bay Ave		residential
"938"	Leonard St		residential
"939"	E 101st St		residential
"940"			footway
"941"	Nostrand Ave		primary
"942"	Hampton Ave		residential
"943"			footway
"944"	E 24th St		residential
"945"	Mc Guinness Blvd		residential
"946"	Herkimer St		residential
"947"			footway
"948"			footway
"949"	Convent Ave		residential
"950"	Neptune Ct		residential
"951"	St Nicholas Ave		residential
"952"	Sea Breeze Ct		residential
"953"	W 143rd St		residential
"954"	E 16th St		residential
"955"	E 102nd St		residential
"956"	Oriental Ct		residential
"957"	Veronica Pl		residential
