OBJECTID	ID	NAME	ALT_NAME	CROSS_ST	LONG_NAME	LABEL	BOROUGH	NGHBHD	ROUTES	TRANSFERS	COLOR	EXPRESS	CLOSED
79	423.0000000000	20th Ave		86th St	"20th Ave (D,M) Brooklyn"	"20th Ave (D,M)"	Brooklyn		"D,M"	"D,M"	BROWN-ORANGE		
80	425.0000000000	25th Ave		86th St	25th Ave (D) Brooklyn	25th Ave (D)	Brooklyn		D	D	ORANGE		
81	406.0000000000	25th St		4th Ave	"25th St (M,R) Brooklyn"	"25th St (M,R)"	Brooklyn		"M,R"	"M,R"	BROWN-YELLOW		
82	407.0000000000	36th St		4th Ave	"36th St (D,M,N,R) Brooklyn"	"36th St (D,M,N,R)"	Brooklyn		"D,M,N,R"	"D,M,N,R"	BROWN-ORANGE-YELLOW	express	
83	408.0000000000	45th St		4th Ave	45th St (R) Brooklyn	45th St (R)	Brooklyn		R	R	YELLOW		
84	342.0000000000	4th Ave	9th St	9th St	4th Ave / 9th St (F) Brooklyn	4th Ave / 9th St (F)	Brooklyn		F	"D,F,M,R"	ORANGE		
85	417.0000000000	50th St		New Utrecht Ave	"50th St (D,M) Brooklyn"	"50th St (D,M)"	Brooklyn		"D,M"	"D,M"	BROWN-ORANGE		
86	409.0000000000	53rd St		4th Ave	53rd St (R) Brooklyn	53rd St (R)	Brooklyn		R	R	YELLOW		
87	418.0000000000	55th St		New Utrecht Ave	"55th St (D,M) Brooklyn"	"55th St (D,M)"	Brooklyn		"D,M"	"D,M"	BROWN-ORANGE		
88	410.0000000000	59th St		4th Ave	"59th St (N,R) Brooklyn"	"59th St (N,R)"	Brooklyn		"N,R"	"N,R"	YELLOW	express	
89	419.0000000000	62nd St	New Utrecht Ave	New Utrecht Ave	"62nd St / New Utrecht Ave (M,D) Brooklyn"	"62nd St / New Utrecht Ave (M,D)"	Brooklyn		"M,D"	"D,M,N"	BROWN-ORANGE		
90	420.0000000000	71st St		New Utrecht Ave	"71st St (D,M) Brooklyn"	"71st St (D,M)"	Brooklyn		"D,M"	"D,M"	BROWN-ORANGE		
91	412.0000000000	77th St		4th Ave	77th St (R) Brooklyn	77th St (R)	Brooklyn		R	R	YELLOW		
92	421.0000000000	79th St		New Utrecht Ave	"79th St (D,M) Brooklyn"	"79th St (D,M)"	Brooklyn		"D,M"	"D,M"	BROWN-ORANGE		
93	384.0000000000	7th Ave		Flatbush Ave	"7th Ave (B,Q) Brooklyn"	"7th Ave (B,Q)"	Brooklyn		"B,Q"	"B,Q"	ORANGE-YELLOW	express	
94	343.0000000000	7th Ave		9th St	7th Ave (F) Brooklyn	7th Ave (F)	Brooklyn		F	F	ORANGE		
95	435.0000000000	86th St	Gravesend	W 7th St	86th St / Gravesend (N) Brooklyn	86th St / Gravesend (N)	Brooklyn		N	N	YELLOW		
96	413.0000000000	86th St		4th Ave	86th St (R) Brooklyn	86th St (R)	Brooklyn		R	R	YELLOW		
97	427.0000000000	8th Ave		62nd St	8th Ave (N) Brooklyn	8th Ave (N)	Brooklyn		N	N	YELLOW		
98	414.0000000000	95th St	Bay Ridge	4th Ave	95th St / Bay Ridge (R) Brooklyn	95th St / Bay Ridge (R)	Brooklyn		R	R	YELLOW		
99	415.0000000000	9th Ave		39th St	"9th Ave (D,M) Brooklyn"	"9th Ave (D,M)"	Brooklyn		"D,M"	"D,M"	BROWN-ORANGE		
100	404.0000000000	9th St	4th Ave	4th Ave	"9th St / 4th Ave (M,R) Brooklyn"	"9th St / 4th Ave (M,R)"	Brooklyn		"M,R"	"F,M,R"	BROWN-YELLOW		
101	320.0000000000	Alabama Ave		Fulton St	Alabama Ave (J) Brooklyn	Alabama Ave (J)	Brooklyn		J	J	BROWN		
102	383.0000000000	Atlantic Ave	Brooklyn Academy of Music	Flatbush Ave	"Atlantic Ave / Brooklyn Academy of Music (B,Q) Brooklyn"	"Atlantic Ave / Brooklyn Academy of Music (B,Q)"	Brooklyn		"B,Q"	"B,D,M,N,Q,R,2,3,4,5"	ORANGE-YELLOW	express	
103	457.0000000000	Atlantic Ave		Snediker Ave	Atlantic Ave (L) Brooklyn	Atlantic Ave (L)	Brooklyn		L	L	GREY		
104	77.0000000000	Atlantic Ave	Brooklyn Academy of Music	Flatbush Ave	"Atlantic Ave / Brooklyn Academy of Music (2,3,4,5) Brooklyn"	"Atlantic Ave / Brooklyn Academy of Music (2,3,4,5)"	Brooklyn		"2,3,4,5"	"B,D,M,N,Q,R,2,3,4,5"	GREEN-RED	express	
105	391.0000000000	Ave H		E 16th St	Ave H (Q) Brooklyn	Ave H (Q)	Brooklyn		Q	Q	YELLOW		
106	349.0000000000	Ave I		McDonald Ave	Ave I (F) Brooklyn	Ave I (F)	Brooklyn		F	F	ORANGE		
107	392.0000000000	Ave J		E 16th St	Ave J (Q) Brooklyn	Ave J (Q)	Brooklyn		Q	Q	YELLOW		
108	393.0000000000	Ave M		E 16th St	Ave M (Q) Brooklyn	Ave M (Q)	Brooklyn		Q	Q	YELLOW		
109	351.0000000000	Ave N		McDonald Ave	Ave N (F) Brooklyn	Ave N (F)	Brooklyn		F	F	ORANGE		
110	352.0000000000	Ave P		McDonald Ave	Ave P (F) Brooklyn	Ave P (F)	Brooklyn		F	F	ORANGE		
111	395.0000000000	Ave U		E 16th St	Ave U (Q) Brooklyn	Ave U (Q)	Brooklyn		Q	Q	YELLOW		
112	434.0000000000	Ave U		W 7th St	Ave U (N) Brooklyn	Ave U (N)	Brooklyn		N	N	YELLOW		
113	354.0000000000	Ave U		McDonald Ave	Ave U (F) Brooklyn	Ave U (F)	Brooklyn		F	F	ORANGE		
114	355.0000000000	Ave X		McDonald Ave	Ave X (F) Brooklyn	Ave X (F)	Brooklyn		F	F	ORANGE		
115	426.0000000000	Bay 50th St		Stillwell Ave	Bay 50th St (D) Brooklyn	Bay 50th St (D)	Brooklyn		D	D	ORANGE		
116	424.0000000000	Bay Pky		86th St	"Bay Pky (D,M) Brooklyn"	"Bay Pky (D,M)"	Brooklyn		"D,M"	"D,M"	BROWN-ORANGE		
117	432.0000000000	Bay Pky		W 7th St/Ave	Bay Pky (N) Brooklyn	Bay Pky (N)	Brooklyn		N	N	YELLOW		
118	350.0000000000	Bay Pky		McDonald Ave	Bay Pky (F) Brooklyn	Bay Pky (F)	Brooklyn		F	F	ORANGE		
119	411.0000000000	Bay Ridge Ave		4th Ave	Bay Ridge Ave (R) Brooklyn	Bay Ridge Ave (R)	Brooklyn		R	R	YELLOW		
120	444.0000000000	Bedford Ave		N 7th St	Bedford Ave (L) Brooklyn	Bedford Ave (L)	Brooklyn		L	L	GREY		
121	282.0000000000	Bedford Ave	Nostrand Ave	Lafayette Ave	Bedford Ave / Nostrand Ave (G) Brooklyn	Bedford Ave / Nostrand Ave (G)	Brooklyn		G	G	LIME		
122	339.0000000000	Bergen St		Smith St	"Bergen St (F,G) Brooklyn"	"Bergen St (F,G)"	Brooklyn		"F,G"	"F,G"	ORANGE-LIME		
123	78.0000000000	Bergen St		Flatbush Ave	"Bergen St (2,3) Brooklyn"	"Bergen St (2,3)"	Brooklyn		"2,3"	"2,3"	RED-GREEN		
124	388.0000000000	Beverly Rd		E 16th St	Beverly Rd (Q) Brooklyn	Beverly Rd (Q)	Brooklyn		Q	Q	YELLOW		
125	96.0000000000	Beverly Rd		Nostrand Ave	"Beverly Rd (2,5) Brooklyn"	"Beverly Rd (2,5)"	Brooklyn		"2,5"	"2,5"	RED-GREEN		
126	101.0000000000	Borough Hall	Court St	Joralemon St	"Borough Hall / Court St (4,5) Brooklyn"	"Borough Hall / Court St (4,5)"	Brooklyn		"4,5"	"M,R,2,3,4,5"	GREEN	express	
127	74.0000000000	Borough Hall	Court St	Court St	"Borough Hall / Court St (2,3) Brooklyn"	"Borough Hall / Court St (2,3)"	Brooklyn		"2,3"	"M,R,2,3,4,5"	RED	express	
128	436.0000000000	Botanic Garden		Eastern Pky	Botanic Garden (S) Brooklyn	Botanic Garden (S)	Brooklyn		S	"S,2,3,4,5"	GREY		
129	398.0000000000	Brighton Beach		Brighton 6 St	"Brighton Beach (B,Q) Brooklyn"	"Brighton Beach (B,Q)"	Brooklyn		"B,Q"	"B,Q"	ORANGE-YELLOW	express	
130	285.0000000000	Broadway		Union Ave	Broadway (G) Brooklyn	Broadway (G)	Brooklyn		G	G	LIME		
131	456.0000000000	Broadway Jct	Eastern Pky	Eastern Pky	"Broadway Jct / Eastern Pky (J,Z) Brooklyn"	"Broadway Jct / Eastern Pky (J,Z)"	Brooklyn		"J,Z"	"A,C,J,L,Z"	BROWN	express	
