OBJECTID,Admin_type,Adm2_CAP,ADM2_EN,ADM2_ZH,ADM2_PCODE,ADM1_EN,ADM1_ZH,ADM1_PCODE,ADM0_EN,ADM0_ZH,ADM0_PCODE
"107",League,"Bayanhot Elute Subdistrict, Alxa Left B",Alxa League,阿拉善盟,CN015010,Inner Mongolia Autonomous Region,内蒙古自治区,CN015,China,中国,CN
"108",Prefecture-level city,Liangzhou District,Wuwei,武威市,CN062130,Gansu province,甘肃省,CN062,China,中国,CN
"109",Prefecture-level city,Chengguan District,Lanzhou,兰州市,CN062070,Gansu province,甘肃省,CN062,China,中国,CN
"110",Prefecture-level city,Shapotou District,Zhongwei,中卫市,CN064050,Ningxia Hui Autonomous Region,宁夏回族自治区,CN064,China,中国,CN
"111",Prefecture-level city,Jinfeng District,Yinchuan,银川市,CN064040,Ningxia Hui Autonomous Region,宁夏回族自治区,CN064,China,中国,CN
"112",Prefecture-level city,Dawukou District,Shizuishan,石嘴山市,CN064020,Ningxia Hui Autonomous Region,宁夏回族自治区,CN064,China,中国,CN
"113",Prefecture-level city,Haibowan District,Wuhai,乌海市,CN015110,Inner Mongolia Autonomous Region,内蒙古自治区,CN015,China,中国,CN
"114",Prefecture-level city,Dongsheng District,Ordos,鄂尔多斯市,CN015080,Inner Mongolia Autonomous Region,内蒙古自治区,CN015,China,中国,CN
"115",Prefecture-level city,Linhe District,Bayannur,巴彦淖尔市,CN015030,Inner Mongolia Autonomous Region,内蒙古自治区,CN015,China,中国,CN
"116",Prefecture-level city,Hondlon District,Baotou,包头市,CN015020,Inner Mongolia Autonomous Region,内蒙古自治区,CN015,China,中国,CN
"117",Prefecture-level city,Xincheng District,Hohhot,呼和浩特市,CN015060,Inner Mongolia Autonomous Region,内蒙古自治区,CN015,China,中国,CN
"118",Prefecture-level city,Jining District,Ulanqab,乌兰察布市,CN015100,Inner Mongolia Autonomous Region,内蒙古自治区,CN015,China,中国,CN
"119",Prefecture-level city,Cheng District,Datong,大同市,CN014020,Shanxi Province,山西省,CN014,China,中国,CN
"120",Prefecture-level city,Shuocheng District,Shuozhou,朔州市,CN014070,Shanxi Province,山西省,CN014,China,中国,CN
"121",Prefecture-level city,Xinfu District,Xinzhou,忻州市,CN014090,Shanxi Province,山西省,CN014,China,中国,CN
"122",Prefecture-level city,Yuyang District,Yulin,榆林市,CN061100,Shaanxi Province,陕西省,CN061,China,中国,CN
"123",Prefecture-level city,Baota District,Yan'an,延安市,CN061090,Shaanxi Province,陕西省,CN061,China,中国,CN
"124",Prefecture-level city,Xifeng District,Qingyang,庆阳市,CN062110,Gansu province,甘肃省,CN062,China,中国,CN
"125",Prefecture-level city,Yuanzhou District,Guyuan,固原市,CN064010,Ningxia Hui Autonomous Region,宁夏回族自治区,CN064,China,中国,CN
"126",Prefecture-level city,Baiyin District,Baiyin,白银市,CN062010,Gansu province,甘肃省,CN062,China,中国,CN
"127",Prefecture-level city,Jintai District,Baoji,宝鸡市,CN061020,Shaanxi Province,陕西省,CN061,China,中国,CN
"128",Prefecture-level city,Hantai District,Hanzhong,汉中市,CN061030,Shaanxi Province,陕西省,CN061,China,中国,CN
"129",Prefecture-level city,Lizhou District,Guangyuan,广元市,CN051070,Sichuan Province,四川省,CN051,China,中国,CN
"130",Prefecture-level city,Bazhou District,Bazhong,巴中市,CN051010,Sichuan Province,四川省,CN051,China,中国,CN
"131",Prefecture-level city,Shunqing District,Nanchong,南充市,CN051130,Sichuan Province,四川省,CN051,China,中国,CN
"132",Prefecture-level city,Fucheng District,Mianyang,绵阳市,CN051120,Sichuan Province,四川省,CN051,China,中国,CN
